alpha	precision	recall	pred.col	F1
-209566	0.14	1	hardcode.distance	0.245614035087719
-214983	0.137254901960784	1	hardcode.distance	0.241379310344828
-222393	0.134615384615385	1	hardcode.distance	0.23728813559322
-223446	0.132075471698113	1	hardcode.distance	0.233333333333333
-223817	0.12962962962963	1	hardcode.distance	0.229508196721311
-245492	0.127272727272727	1	hardcode.distance	0.225806451612903
-248329	0.125	1	hardcode.distance	0.222222222222222
-253448.5	0.12280701754386	1	hardcode.distance	0.21875
-257121	0.120689655172414	1	hardcode.distance	0.215384615384615
-261460	0.11864406779661	1	hardcode.distance	0.212121212121212
-262007	0.116666666666667	1	hardcode.distance	0.208955223880597
-263100	0.114754098360656	1	hardcode.distance	0.205882352941176
-263441	0.112903225806452	1	hardcode.distance	0.202898550724638
-278266	0.111111111111111	1	hardcode.distance	0.2
-278937	0.109375	1	hardcode.distance	0.197183098591549
-279990	0.107692307692308	1	hardcode.distance	0.194444444444444
-294948	0.106060606060606	1	hardcode.distance	0.191780821917808
-324694	0.104477611940299	1	hardcode.distance	0.189189189189189
-339901	0.102941176470588	1	hardcode.distance	0.186666666666667
-354875	0.101449275362319	1	hardcode.distance	0.184210526315789
-365900	0.1	1	hardcode.distance	0.181818181818182
-372641	0.0985915492957746	1	hardcode.distance	0.179487179487179
-373730	0.0972222222222222	1	hardcode.distance	0.177215189873418
-382289	0.0958904109589041	1	hardcode.distance	0.175
-394193	0.0945945945945946	1	hardcode.distance	0.172839506172839
-409606	0.0933333333333333	1	hardcode.distance	0.170731707317073
